Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 1661323964619868928,211.1805772,61.1944550,16.920,4.542,4.563,21.7427,17.1501,-11.42,nan,nan,21.632,M6.8,nan,nan,1.090,nan,None
Gaia DR3 1627009070006756608,235.5841081,59.6147773,13.566,2.813,4.807,22.8817,17.3143,-16.25,-25.67,26.29,22.499,M3.7,nan,nan,1.299,nan,Gaia DR3
Gaia DR3 1613573690750097024,223.8383164,56.9290476,14.852,-0.155,2.621,17.6468,17.4813,-14.31,nan,nan,19.228,B4.9,nan,nan,0.964,nan,None
Gaia DR3 1659332409759969792,207.6182932,58.6565040,10.842,1.634,3.286,19.8684,17.5688,-10.67,-14.86,0.28,20.102,K5.6,nan,nan,0.988,nan,Gaia DR3
Gaia DR3 3958028490314315008,192.9093445,25.5086632,8.851,1.067,2.289,24.9412,17.7228,-2.80,nan,nan,25.878,K1.8,nan,nan,0.884,nan,None
Gaia DR3 3958028559033816832,193.0083530,25.4564595,9.441,1.478,2.353,24.9081,17.7239,-2.83,nan,nan,25.536,K5.1,nan,nan,2.741,nan,None
Gaia DR3 1426873554041125120,247.7599941,54.2270452,14.397,2.964,0.202,24.9339,17.7683,-19.22,-26.13,4.47,25.291,M4.0,nan,nan,1.134,nan,Gaia DR3
Gaia DR3 1667027548045598208,217.6902133,63.1858276,5.998,0.574,4.123,23.3961,18.0383,-12.60,-3.46,0.22,31.558,F4.7,nan,nan,0.974,nan,Gaia DR3
Gaia DR3 1545247048904161664,183.5329793,47.2673649,14.135,2.917,3.001,25.4352,18.0633,-3.20,-9.56,1.17,25.763,M3.9,nan,nan,1.160,nan,Gaia DR3
Gaia DR3 1295557647681210368,227.4735395,38.9782845,10.148,1.200,3.915,7.8301,18.0794,-16.14,-10.39,3.81,17.017,K2.9,nan,nan,2.633,nan,Gaia DR3
Gaia DR3 1253353890280943104,212.9298436,22.1124097,17.411,0.502,2.153,18.0807,18.0918,-10.32,nan,nan,19.056,F2.4,nan,nan,0.986,nan,None
Gaia DR3 1569244577374366336,188.3575279,52.4494508,14.093,2.866,4.569,23.5318,18.2750,-5.40,-9.12,4.12,21.847,M3.8,nan,nan,1.261,nan,Gaia DR3
Gaia DR3 1519205768833341312,186.0609847,35.7189194,14.893,3.245,3.613,24.9733,18.3946,-1.93,12.39,4.41,30.121,M4.7,nan,nan,1.067,nan,Gaia DR3
Gaia DR3 1547052687517410304,185.9241800,49.0708994,14.617,3.026,3.746,24.0938,18.4072,-4.20,-11.17,3.34,22.204,M4.2,nan,nan,1.216,nan,Gaia DR3
Gaia DR3 1547052687517410432,185.9230494,49.0712888,14.295,2.922,4.272,24.0946,18.4160,-4.20,-11.17,2.47,22.193,M3.9,nan,nan,1.176,nan,Gaia DR3
Gaia DR3 1262672388765696512,223.7512439,22.9679361,14.872,2.925,4.581,17.6639,18.4175,-14.47,-19.13,3.03,18.754,M3.9,nan,nan,1.107,nan,Gaia DR3
Gaia DR3 1547052653157671808,185.9221246,49.0679724,15.273,3.144,3.534,24.0945,18.4225,-4.20,nan,nan,22.184,M4.5,nan,nan,1.149,nan,None
Gaia DR3 1383268439008361344,240.1300259,41.2035403,16.006,3.256,1.260,17.2991,18.6201,-19.41,nan,nan,18.547,M4.8,nan,nan,1.015,nan,None
Gaia DR3 1295557647681209984,227.4751871,38.9759059,8.198,0.716,4.137,7.8317,18.8003,-16.15,-8.39,0.13,16.800,F8.9,nan,nan,0.961,nan,Gaia DR3
Gaia DR3 1324251396473528832,248.7541117,31.5080761,13.387,2.787,2.963,26.6381,18.8834,-22.03,-26.68,1.38,25.700,M3.7,nan,nan,1.216,nan,Gaia DR3
Gaia DR3 1610907546851440128,217.6296311,57.1728598,16.513,3.537,2.788,17.3831,18.8976,-12.94,nan,nan,18.444,M5.4,nan,nan,1.185,nan,None
Gaia DR3 1476430505906769408,199.7951868,38.7431274,14.582,2.865,2.278,13.6417,18.9559,-7.17,0.53,6.64,17.549,M3.8,nan,nan,4.889,nan,Gaia DR3
Gaia DR3 1312648589566927104,249.4627438,31.8503856,13.442,2.751,4.177,27.0251,19.0894,-22.18,-29.12,1.08,26.920,M3.6,nan,nan,18.095,nan,Gaia DR3
Gaia DR3 1668251063969207552,214.7625528,64.8629177,13.158,2.575,0.973,25.1189,19.1372,-11.96,-15.64,13.05,22.232,M3.2,nan,nan,1.297,nan,Gaia DR3
Gaia DR3 4016968051639084032,185.3530081,34.0452061,10.432,1.547,4.394,26.1034,19.2435,-1.38,-7.04,0.19,23.213,K5.4,nan,nan,1.043,nan,Gaia DR3
Gaia DR3 1404496155953774592,236.7178412,51.8925711,16.583,3.827,3.697,18.0003,19.2839,-17.55,nan,nan,18.446,M5.8,nan,nan,1.366,nan,None
Gaia DR3 1329124913043769216,246.0831715,34.2433572,14.535,2.980,2.928,23.4615,19.3750,-21.28,-27.23,3.87,20.697,M4.1,nan,nan,1.156,nan,Gaia DR3
Gaia DR3 1668008140619144448,211.5270978,64.5507577,13.392,2.668,4.407,24.9957,19.3997,-11.39,-24.20,0.96,33.063,M3.4,nan,nan,1.287,nan,Gaia DR3
Gaia DR3 1236186528041423232,218.7996518,18.7537738,15.753,2.998,4.622,21.0716,19.4442,-12.26,-30.45,5.25,19.438,M4.1,nan,nan,1.104,nan,Gaia DR3
Gaia DR3 1220278033602341376,238.1062311,25.9157670,15.605,3.176,1.771,22.1582,19.4596,-19.31,-31.66,8.02,19.919,M4.6,nan,nan,1.453,nan,Gaia DR3
Gaia DR3 1220278037896123776,238.1063686,25.9162402,15.571,3.158,2.498,22.1579,19.4860,-19.31,nan,nan,19.901,M4.5,nan,nan,1.425,nan,None
Gaia DR3 1257982937313049472,208.4863850,24.3727312,13.645,2.774,3.897,17.1423,19.5497,-8.83,nan,nan,18.093,M3.6,nan,nan,6.711,nan,None
Gaia DR3 1329124913043769344,246.0817764,34.2427196,14.878,3.036,3.594,23.4606,19.5534,-21.28,-16.40,6.90,20.548,M4.2,nan,nan,3.167,nan,Gaia DR3
Gaia DR3 1557677371452516096,194.5699746,52.6117346,11.844,2.321,4.644,20.1921,19.6185,-7.08,-10.67,0.22,38.152,M2.4,nan,nan,1.379,nan,Gaia DR3
Gaia DR3 1323563308352525440,242.1119116,33.7331462,8.228,0.796,4.080,20.6326,19.7176,-20.34,-27.47,0.13,19.106,G0.7,nan,nan,0.987,nan,Gaia DR3
Gaia DR3 1329410545548746496,245.4582100,35.1949488,16.493,3.607,4.256,22.6397,19.7592,-21.08,nan,nan,19.950,M5.5,nan,nan,0.955,nan,None
Gaia DR3 1452337006389928960,208.3948926,29.4826442,17.362,0.435,4.672,12.6748,19.7691,-9.32,nan,nan,17.102,F1.0,nan,nan,1.007,nan,None
Gaia DR3 1537695431244434944,181.4748582,44.0738892,14.750,2.965,4.447,26.8434,19.7890,-1.98,0.21,5.09,23.191,M4.0,nan,nan,0.839,nan,Gaia DR3
