Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr,rank_score
Gaia,DR3,5591191728765323904,109.622865,-33.2495892,16.704,,1.818,0.8128,12.012,19.32,,,2.564,,,,1.044,,,-7.692,4.858,-7.511,0.059,5.823,0.071,0
Gaia,DR3,5603270787415564032,108.4031302,-32.897807,17.611,2.845,3.305,1.796,11.9007,19.62,,,2.634,M3.8,,,1.06,,,-7.651,5.014,-6.323,0.072,6.28,0.087,0
Gaia,DR3,5590551503763299584,108.6821329,-35.1974517,17.724,2.877,3.782,1.7686,22.672,19.19,,,2.509,M3.8,,,1.002,,,-7.344,5.169,-5.73,0.079,6.352,0.089,0
Gaia,DR3,5586501074725843456,112.04018,-36.9860978,13.81,1.521,4.333,3.4213,23.9487,18.2,,,2.697,K5.3,,,1.433,,,-8.59,5.603,-8.644,0.017,3.14,0.019,0
Gaia,DR3,5591508250680300544,111.7799095,-34.6895545,17.917,2.91,1.983,1.535,11.4896,18.64,,,2.675,M3.9,,,0.994,,,-8.468,5.164,-7.663,0.087,5.94,0.101,0
Gaia,DR3,5586501624476573312,112.0904984,-36.9439061,17.681,,4.665,3.4024,23.9598,18.2,,,2.585,,,,1.183,,,-8.243,5.359,-5.839,0.14,4.533,0.206,0
Gaia,DR3,5603060883772761600,108.2044005,-33.9067639,19.573,2.371,4.263,1.6316,11.4587,19.5,,,2.665,M2.6,,,0.954,,,-7.698,5.28,-9.787,0.282,4.11,0.288,0
Gaia,DR3,5604741762171092224,109.9827937,-32.4282473,9.448,0.134,2.011,1.5023,22.7044,19.37,,,2.788,A3.6,,,1.3,,,-8.44,5.089,-7.916,0.024,6.148,0.027,0
Gaia,DR3,5593270114989173760,111.630287,-31.4564932,16.516,2.407,0.544,2.7549,21.6607,19.16,,,2.561,M2.7,,,1.013,,,-8.076,4.378,-8.196,0.038,4.646,0.049,0
Gaia,DR3,5591269347419800192,112.9171862,-34.9002848,16.197,1.892,4.252,2.468,22.6334,18.35,,,2.534,M0.3,,,1.006,,,-8.238,4.836,-6.089,0.035,5.574,0.041,0
Gaia,DR3,5605054440093708032,109.2536121,-31.473729,16.166,2.254,0.451,2.5672,20.6512,19.67,,,2.56,M2.0,,,1.022,,,-7.606,4.55,-7.712,0.033,4.769,0.043,0
Gaia,DR3,5602522986366381952,107.4421057,-35.0122111,17.059,2.797,4.216,2.4993,16.5877,19.46,,,2.63,M3.7,,,1.03,,,-7.44,5.478,-5.402,0.053,6.623,0.059,0
Gaia,DR3,5603528524112146816,108.7204417,-31.9026124,17.605,3.074,3.738,2.3581,19.7696,19.71,,,2.557,M4.3,,,1.01,,,-7.491,4.661,-6.42,0.085,6.368,0.087,0
Gaia,DR3,5590242163036023424,109.0030455,-36.1046455,16.984,2.406,2.768,2.3825,19.8527,18.97,,,2.557,M2.7,,,0.998,,,-7.549,5.406,-6.158,0.055,5.948,0.067,0
Gaia,DR3,5589713882062975360,112.1429511,-35.774225,16.327,1.865,4.883,2.4596,16.4491,18.38,,,2.656,M0.2,,,0.974,,,-8.478,5.291,-11.047,0.039,4.358,0.044,0
Gaia,DR3,5602801983144447616,106.5882612,-34.3081668,18.314,2.676,3.237,2.9905,19.9006,19.75,,,2.625,M3.4,,,1.063,,,-7.247,5.396,-5.833,0.112,6.497,0.122,0
Gaia,DR3,5590719729042730624,110.0476993,-34.7818795,17.369,3.127,1.264,0.8655,19.9057,18.99,,,2.776,M4.4,,,1.024,,,-8.42,5.525,-9.068,0.062,5.166,0.07,0
Gaia,DR3,5590792846565785088,109.5925837,-34.4207403,15.468,1.898,2.336,0.6906,19.9084,19.14,,,2.779,M0.3,,,1.004,,,-8.329,5.497,-7.171,0.025,6.224,0.026,0
Gaia,DR3,5590545628247977984,108.3896004,-35.0981756,17.554,3.084,3.872,1.8804,19.9469,19.27,,,2.534,M4.3,,,1.626,,,-7.357,5.223,-5.487,0.125,6.107,0.147,0
Gaia,DR3,5591001405881316992,109.4621603,-34.0970093,18.439,2.698,3.049,0.6125,20.0032,19.22,,,2.507,M3.5,,,1.101,,,-7.49,4.912,-6.412,0.139,6.11,0.162,0
Gaia,DR3,5592609682155697280,111.6632585,-32.5283551,17.422,2.764,0.895,1.8715,20.0197,18.99,,,2.752,M3.6,,,1.014,,,-8.687,4.91,-9.141,0.065,4.658,0.075,0
Gaia,DR3,5592082431965745408,112.9621928,-33.2346544,17.881,2.884,1.277,2.4253,16.196,18.6,,,2.654,M3.9,,,0.981,,,-8.636,4.76,-8.102,0.083,5.234,0.089,0
Gaia,DR3,5591020617272571264,108.9111087,-34.1937036,17.377,2.757,3.627,1.078,20.1455,19.31,,,2.512,M3.6,,,1.078,,,-7.397,4.979,-5.827,0.075,6.086,0.095,0
Gaia,DR3,5589575442378740096,111.5615377,-36.5267727,19.108,2.837,4.94,2.8415,20.1817,18.38,,,2.59,M3.8,,,1.086,,,-8.154,5.341,-5.726,0.235,4.168,0.232,0
Gaia,DR3,5589659284437840768,110.8291286,-36.0355114,18.751,3.269,1.625,2.181,20.1871,18.61,,,2.741,M4.8,,,1.028,,,-8.476,5.625,-9.077,0.156,4.904,0.187,0
Gaia,DR3,5589700408746230016,111.9428205,-35.8430508,17.456,2.802,1.558,2.4089,20.197,18.41,,,2.728,M3.7,,,0.986,,,-8.669,5.466,-7.852,0.073,5.098,0.086,0
Gaia,DR3,5602624996131365888,107.4702334,-34.7350425,16.423,2.436,2.569,2.3732,16.0529,19.51,,,2.662,M2.8,,,0.998,,,-7.536,5.489,-6.85,0.041,6.757,0.047,0
Gaia,DR3,5604749944091783040,109.5985237,-32.4665048,18.801,3.172,1.845,1.5325,16.0522,19.45,,,2.554,M4.5,,,1.084,,,-7.656,4.697,-6.878,0.16,5.314,0.2,0
