Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5589777889957665280,111.7447096,-35.5818246,19.352,3.167,1.078,2.104,22.4065,18.5,,,2.766,M4.5,,,0.965,,,-8.749,5.512,-8.217,0.213,5.177,0.274
Gaia,DR3,5592811927868515200,111.6254015,-32.1795475,17.12,2.771,0.747,2.127,22.4324,19.05,,,2.522,M3.6,,,2.507,,,-7.954,4.441,-8.153,0.109,4.785,0.122
Gaia,DR3,5592855869682124800,110.5993866,-32.178252,19.015,3.029,1.192,1.7807,22.543,19.28,,,2.511,M4.2,,,1.022,,,-7.721,4.495,-7.919,0.195,5.094,0.202
Gaia,DR3,5589804282527961856,111.7596338,-35.2180048,18.526,1.332,0.867,1.8415,22.8187,18.55,,,2.779,K4.1,,,1.026,,,-8.793,5.467,-9.293,0.211,5.382,0.228
Gaia,DR3,5591475643281087232,113.3316265,-33.9244199,18.583,2.745,0.365,2.623,22.8492,18.41,,,2.54,M3.6,,,0.999,,,-8.334,4.645,-8.478,0.139,4.513,0.154
Gaia,DR3,5591757423206215424,112.6515696,-33.2086374,19.784,2.606,1.324,2.1871,22.9892,18.67,,,2.52,M3.3,,,1.031,,,-8.141,4.539,-7.581,0.275,4.964,0.354
Gaia,DR3,5591821504113055104,114.1768956,-33.7603121,19.563,2.939,0.105,3.3314,23.1135,18.24,,,2.593,M4.0,,,0.937,,,-8.671,4.643,-8.71,0.254,4.601,0.317
Gaia,DR3,5592071681672049152,113.1953467,-33.2256591,16.637,2.508,0.17,2.6147,23.5671,18.55,,,2.756,M3.1,,,0.93,,,-9.014,4.92,-9.013,0.043,5.019,0.05
Gaia,DR3,5592610682881895040,111.6078276,-32.4842741,19.887,2.817,1.265,1.8747,23.5915,19.01,,,2.785,M3.7,,,1.078,,,-8.78,4.965,-8.511,0.343,4.273,0.424
Gaia,DR3,5591629162601727872,111.4882011,-33.886709,17.583,3.18,0.308,1.0943,23.6195,18.82,,,2.803,M4.6,,,1.005,,,-8.811,5.281,-8.634,0.087,5.24,0.102
