Gaia DR3                              RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate RVsrc 
Gaia DR3 5592886110553681024 111.1732453 -31.7826815  7.624 -0.142       1.888   2.2995  15.2884    19.21      nan      nan    2.629 B5.7      nan    nan   1.015     nan                                None
Gaia DR3 5592886935186690688 111.1503805 -31.7566079 13.166  0.940       0.387   2.3169  15.3444    19.22    12.57     2.48    2.635 G8.8      nan    nan   1.013     nan                            Gaia DR3
Gaia DR3 5590340049632770944 109.0591387 -35.5969474 13.357  1.063       2.008   1.9073  15.3587    19.05    27.25     9.90    2.578 K1.8      nan    nan   0.947     nan                            Gaia DR3
Gaia DR3 5592878173453615872 110.9521416 -31.9371790 15.707  2.226       1.123   2.0907  15.4230    19.24      nan      nan    2.592 M1.8      nan    nan   1.832     nan                                None
Gaia DR3 5604814158143753600 109.4566041 -32.0947032 19.515  2.850       3.265   1.9231  15.4804    19.53      nan      nan    2.578 M3.8      nan    nan   1.043     nan                                None
Gaia DR3 5591448911414722688 112.6682452 -34.3247945 13.829  1.122       4.261   2.1065  15.4962    18.50    20.99     3.11    2.592 K2.1      nan    nan   0.987     nan                            Gaia DR3
Gaia DR3 5604890269265077760 110.3067443 -31.8166260 16.927  2.821       1.021   2.1088  15.5113    19.39      nan      nan    2.686 M3.7      nan    nan   1.373     nan                                None
Gaia DR3 5592893978933186048 110.9451465 -31.7212008 16.528  2.413       0.447   2.2954  15.5302    19.27      nan      nan    2.616 M2.8      nan    nan   0.952     nan                                None
Gaia DR3 5591749176868993280 112.5675047 -33.3947331 19.072  3.102       1.202   2.0638  15.5737    18.66      nan      nan    2.587 M4.4      nan    nan   0.948     nan                                None
Gaia DR3 5591709461309353984 112.8832794 -33.2980928 17.571    nan       2.235   2.3439  15.5992    18.61      nan      nan    2.650  nan      nan    nan   1.105     nan                                None
Gaia DR3 5591525705427249664 111.5817001 -34.5299364 17.711  2.935       1.260   1.3156  15.6233    18.70      nan      nan    2.731 M4.0      nan    nan   1.022     nan                                None
Gaia DR3 5592811030219078144 111.6106365 -32.2552162 19.398  3.138       0.545   2.0579  15.6357    19.04      nan      nan    2.693 M4.5      nan    nan   1.036     nan                                None
Gaia DR3 5603066901026966912 108.1409678 -33.7357175 17.122  2.694       3.555   1.6961  15.6419    19.54      nan      nan    2.564 M3.5      nan    nan   0.992     nan                                None
Gaia DR3 5592757811278905216 110.2163390 -32.3197881 18.415  3.071       1.200   1.6030  15.6742    19.34      nan      nan    2.720 M4.3      nan    nan   0.968     nan                                None
Gaia DR3 5592777426394961280 111.2201389 -32.5045071 19.922  3.183       1.315   1.6678  15.6895    19.09      nan      nan    2.562 M4.6      nan    nan   1.015     nan                                None
Gaia DR3 5592867036597008128 110.8616289 -31.8879695 18.904  3.317       0.853   2.1155  15.6895    19.26      nan      nan    2.590 M4.9      nan    nan   1.091     nan                                None
Gaia DR3 5591510617201013632 111.9163472 -34.6808451 19.232  3.209       2.000   1.6295  15.7188    18.61      nan      nan    2.560 M4.6      nan    nan   1.006     nan                                None
Gaia DR3 5592608071548308864 111.9360071 -32.3344984 10.256  0.257       0.073   2.1696  15.7865    18.96    10.53     2.95    2.594 A7.1      nan    nan   0.989     nan                            Gaia DR3
Gaia DR3 5592868587085432832 110.6263100 -31.9469931 17.206  2.978       0.560   2.0120  15.8074    19.30      nan      nan    2.580 M4.1      nan    nan   1.098     nan                                None
Gaia DR3 5592900094966521984 111.0517453 -31.6766758 12.862  1.061       0.833   2.3647  15.8235    19.25    13.55     8.61    2.623 K1.8      nan    nan   1.426     nan                            Gaia DR3
Gaia DR3 5592857591969194880 110.6304999 -32.1260403 13.669  1.186       1.964   1.8372  15.8646    19.28   -17.53     5.64    2.569 K2.7      nan    nan   2.455     nan                            Gaia DR3
Gaia DR3 5592886243689939456 111.1871258 -31.7627678 18.314  3.350       0.687   2.3223  15.8878    19.21      nan      nan    2.611 M5.0      nan    nan   1.078     nan                                None
Gaia DR3 5592880235037738496 111.1338295 -31.8034472 16.853  2.577       0.148   2.2681  15.9653    19.22      nan      nan    2.601 M3.2      nan    nan   1.050     nan                                None
Gaia DR3 5603528627190488960 108.7214304 -31.8839338 10.340  0.293       2.840   2.3737  15.9931    19.72    16.38     4.52    2.618 A6.4      nan    nan   0.821     nan                            Gaia DR3
Gaia DR3 5591030375437747328 108.4039638 -34.2621380 17.770  2.881       5.000   1.5018  15.9955    19.40      nan      nan    2.553 M3.9      nan    nan   0.982     nan                                None
Gaia DR3 5592893905908057728 110.9706880 -31.7264971 10.161  0.186       0.474   2.2965  16.0079    19.26    18.57     4.79    2.674 A4.6      nan    nan   0.894     nan                            Gaia DR3
Gaia DR3 5592895868718886400 110.8135554 -31.7385050 13.969  1.297       1.127   2.2497  16.0107    19.29    38.44     4.01    2.598 K3.8      nan    nan   0.991     nan                            Gaia DR3
Gaia DR3 5604749944091783040 109.5985237 -32.4665048 18.801  3.172       1.845   1.5325  16.0522    19.45      nan      nan    2.554 M4.5      nan    nan   1.084     nan                                None
Gaia DR3 5602624996131365888 107.4702334 -34.7350425 16.423  2.436       2.569   2.3732  16.0529    19.51      nan      nan    2.662 M2.8      nan    nan   0.998     nan                                None
Gaia DR3 5589760783107827712 111.2357631 -35.7237067 12.088  0.648       4.952   2.0024  16.0577    18.58    36.52     1.92    2.703 F6.2      nan    nan  14.369     nan                            Gaia DR3
Gaia DR3 5589784250806568064 111.7839187 -35.4028838 10.211  0.289       1.059   1.9882  16.0730    18.52    22.89     3.09    2.704 A6.4      nan    nan   1.055     nan                            Gaia DR3
Gaia DR3 5592839621826232576 110.8269827 -32.3427211 17.414  2.871       0.430   1.6725  16.0782    19.20      nan      nan    2.721 M3.8      nan    nan   1.027     nan                                None
Gaia DR3 5590636166158136832 108.3715970 -34.5123544 13.126  0.924       3.142   1.6002  16.0877    19.37    16.66     1.88    2.556 G8.5      nan    nan   1.027     nan                            Gaia DR3
Gaia DR3 5592590479361329024 111.4035474 -32.5092312  8.596 -0.103       2.193   1.7496  16.0879    19.05     6.53     2.41    2.562 B7.6      nan    nan   1.283     nan                            Gaia DR3
Gaia DR3 5604733417057780480 109.7062398 -32.6077197 16.880  2.904       0.159   1.3707  16.1064    19.40      nan      nan    2.548 M3.9      nan    nan   1.005     nan                                None
Gaia DR3 5592851785173579392 110.7778554 -32.1175466 17.185  2.880       0.299   1.8753  16.1403    19.25      nan      nan    2.568 M3.9      nan    nan   1.013     nan                                None
Gaia DR3 5592853434440934016 110.9508252 -32.0322776 16.916  2.867       0.335   2.0002  16.1548    19.22      nan      nan    2.575 M3.8      nan    nan   1.060     nan                                None
Gaia DR3 5589994596823768704 111.4516385 -35.0555616 17.824  2.246       0.932   1.5490  16.1673    18.65      nan      nan    2.727 M2.0      nan    nan   1.034     nan                                None
Gaia DR3 5592413835945042432 111.4668754 -33.2575732 17.927  3.294       0.609   1.2682  16.1820    18.93      nan      nan    2.737 M4.8      nan    nan   0.989     nan                                None
Gaia DR3 5592082431965745408 112.9621928 -33.2346544 17.881  2.884       1.277   2.4253  16.1960    18.60      nan      nan    2.654 M3.9      nan    nan   0.981     nan                                None
Gaia DR3 5590758796065363968 109.2472840 -34.7574678 11.925  0.801       1.176   1.1307  16.2267    19.15     9.66     4.03    2.541 G0.9      nan    nan   1.015     nan                            Gaia DR3
Gaia DR3 5592864940648662016 110.7074564 -32.0269439 12.209  0.784       4.675   1.9482  16.2320    19.28    26.41     6.65    2.709 G0.1      nan    nan   3.850     nan                            Gaia DR3
Gaia DR3 5591440527638385536 113.0362547 -34.2900861 12.848  0.881       0.808   2.4012  16.2626    18.42    19.86     3.20    2.615 G7.1      nan    nan   1.012     nan                            Gaia DR3
Gaia DR3 5604923937503979776 110.6346026 -31.4903019 18.538  3.231       1.145   2.4632  16.3333    19.37      nan      nan    2.632 M4.7      nan    nan   1.077     nan                                None
Gaia DR3 5604923662629096960 110.5631649 -31.5045643 11.820  0.649       0.759   2.4402  16.3428    19.38    19.75     2.56    2.622 F6.3      nan    nan   0.902     nan                            Gaia DR3
Gaia DR3 5593208507967732096 111.6213984 -31.8112460 18.963  3.205       0.821   2.4375  16.3973    19.11      nan      nan    2.619 M4.6      nan    nan   1.013     nan                                None
Gaia DR3 5589713882062975360 112.1429511 -35.7742250 16.327  1.865       4.883   2.4596  16.4491    18.38      nan      nan    2.656 M0.2      nan    nan   0.974     nan                                None
Gaia DR3 5604950604968762624 110.2606980 -31.4588488 17.271  2.771       1.680   2.4647  16.4628    19.45      nan      nan    2.624 M3.6      nan    nan   1.921     nan                                None
Gaia DR3 5604898545660357888 110.4101021 -31.6288363 11.226  0.566       0.692   2.3023  16.5329    19.40    19.82     2.15    2.595 F4.6      nan    nan   1.156     nan                            Gaia DR3
Gaia DR3 5592915694285731200 112.4727230 -32.5261029 14.242  1.433       2.196   2.3787  16.5382    18.81    32.37     8.86    2.604 K4.9      nan    nan   1.155     nan                            Gaia DR3
Gaia DR3 5590758486827715200 109.2291606 -34.7685678 11.281  0.557       1.789   1.1489  16.5819    19.15    19.34     0.79    2.538 F4.3      nan    nan   1.005     nan                            Gaia DR3
Gaia DR3 5602522986366381952 107.4421057 -35.0122111 17.059  2.797       4.216   2.4993  16.5877    19.46      nan      nan    2.630 M3.7      nan    nan   1.030     nan                                None
Gaia DR3 5603137368549875328 107.7412293 -33.3882468 18.911  3.341       4.532   2.0913  16.6010    19.68      nan      nan    2.576 M5.0      nan    nan   1.040     nan                                None
Gaia DR3 5590494294797437056 107.7012982 -35.3046896 17.920  3.036       4.139   2.4576  16.6063    19.36      nan      nan    2.616 M4.2      nan    nan   1.065     nan                                None
Gaia DR3 5592882983816745984 111.2212642 -31.8018884 16.549  2.361       0.245   2.2968  16.6252    19.20      nan      nan    2.593 M2.6      nan    nan   0.984     nan                                None
Gaia DR3 5592885526437269632 111.3377582 -31.6979537 13.919  1.198       0.477   2.4311  16.6668    19.19    14.57     4.60    2.609 K2.9      nan    nan   1.020     nan                            Gaia DR3
Gaia DR3 5591100808600893312 109.4602813 -33.8886982 17.931  3.211       3.557   0.5903  16.6743    19.25      nan      nan    2.529 M4.6      nan    nan   1.016     nan                                None
Gaia DR3 5592898132159795328 110.9036824 -31.6386308 18.198  3.045       0.480   2.3654  16.7452    19.29      nan      nan    2.598 M4.2      nan    nan   1.043     nan                                None
Gaia DR3 5592355454450258688 111.3105143 -33.9160505 18.528  3.118       1.292   0.9461  16.7843    18.86      nan      nan    2.750 M4.4      nan    nan   0.936     nan                                None
Gaia DR3 5591234025608169728 112.6114394 -35.2606861 16.917  2.778       0.835   2.4143  16.8274    18.36      nan      nan    2.676 M3.7      nan    nan   1.019     nan                                None
Gaia DR3 5592362360756536192 111.2593649 -33.7024028 11.392  0.612       1.200   0.9311  16.8470    18.90    19.64     1.32    2.751 F5.4      nan    nan   0.903     nan                            Gaia DR3
Gaia DR3 5603537144106908544 107.9442077 -32.2557440 19.889  2.311       3.294   2.5011  16.8562    19.82      nan      nan    2.617 M2.3      nan    nan   1.203     nan                                None
Gaia DR3 5592895864413145856 110.8126069 -31.7369402 15.566  1.905       0.826   2.2510  16.9516    19.29      nan      nan    2.583 M0.3      nan    nan   1.002     nan                                None
Gaia DR3 5604912912333200384 110.7835812 -31.4869970 16.699  2.418       1.001   2.4894  16.9621    19.34      nan      nan    2.611 M2.8      nan    nan   1.056     nan                                None
Gaia DR3 5591336658148533376 112.7075621 -34.6135391 16.953  3.014       2.657   2.2077  16.9689    18.45      nan      nan    2.580 M4.1      nan    nan   1.140     nan                                None
Gaia DR3 5592887965967383040 111.1811469 -31.6703357 17.679    nan       1.048   2.4069  16.9841    19.22      nan      nan    2.598  nan      nan    nan   0.950     nan                                None
Gaia DR3 5589969067542592128 111.2086321 -35.2433622 18.714  2.874       2.454   1.5734  17.0071    18.67      nan      nan    2.735 M3.8      nan    nan   0.956     nan                                None
Gaia DR3 5604927961898796928 110.4635184 -31.4326286 12.249  0.738       0.550   2.5019  17.0610    19.41    19.86     1.65    2.668 F9.3      nan    nan   0.875     nan                            Gaia DR3
Gaia DR3 5590788448519329920 109.6839042 -34.5185266 17.119  2.853       3.432   0.7192  17.0711    19.10      nan      nan    2.528 M3.8      nan    nan   0.978     nan                                None
Gaia DR3 5602956125228870144 107.1869794 -33.4853574 17.471  2.030       3.944   2.5200  17.0973    19.77      nan      nan    2.613 M0.8      nan    nan   0.982     nan                                None
Gaia DR3 5592829275242383616 111.4888916 -32.0143202 18.929    nan       0.600   2.2054  17.0987    19.11      nan      nan    2.578  nan      nan    nan   0.984     nan                                None
Gaia DR3 5592833059115256832 111.3654354 -31.9874715 15.646  2.441       0.357   2.1792  17.1032    19.14      nan      nan    2.704 M2.9      nan    nan   2.130     nan                                None
Gaia DR3 5593202563741897984 111.8924685 -31.7907741 17.545  2.844       1.379   2.5760  17.2648    19.05      nan      nan    2.620 M3.8      nan    nan   0.994     nan                                None
Gaia DR3 5591771721156734976 112.3493532 -33.0765771 15.857  2.526       0.407   2.0041  17.2909    18.76      nan      nan    2.563 M3.1      nan    nan   1.644     nan                                None
Gaia DR3 5592885114120427776 111.3219571 -31.7291635 17.842  3.392       0.504   2.3971  17.3101    19.18      nan      nan    2.591 M5.1      nan    nan   1.143     nan                                None
Gaia DR3 5604916584519872000 110.9063992 -31.4014573 12.771  0.868       0.330   2.5959  17.3182    19.32    22.51     3.87    2.624 G5.9      nan    nan   0.931     nan                            Gaia DR3
Gaia DR3 5604956961518460288 110.2873566 -31.3052791 17.492  2.725       0.647   2.6189  17.3314    19.47      nan      nan    2.641 M3.5      nan    nan   1.021     nan                                None
Gaia DR3 5604919509402857728 110.8693109 -31.4006734 18.637    nan       0.303   2.5894  17.3320    19.33      nan      nan    2.658  nan      nan    nan   0.980     nan                                None
Gaia DR3 5604929057110687488 110.4283057 -31.3893586 16.875  2.551       1.514   2.5423  17.4126    19.43      nan      nan    2.608 M3.2      nan    nan   1.017     nan                                None
Gaia DR3 5592868346567243776 110.6842275 -31.9677228 15.415  2.504       0.363   2.0016  17.4493    19.29      nan      nan    2.561 M3.0      nan    nan   1.133     nan                                None
Gaia DR3 5592907688468478976 111.1097101 -31.4052931 13.471  1.092       0.185   2.6383  17.4601    19.28    14.23     3.49    2.638 K2.0      nan    nan   0.964     nan                            Gaia DR3
Gaia DR3 5592848070018543872 110.9278392 -32.1395405 18.496  2.952       0.841   1.8925  17.4725    19.21      nan      nan    2.726 M4.0      nan    nan   1.078     nan                                None
Gaia DR3 5591234918961312768 112.7320633 -35.2441027 14.900  1.558       1.388   2.4888  17.5421    18.34      nan      nan    2.682 K5.4      nan    nan   0.991     nan                                None
Gaia DR3 5590079400960902400 111.0089203 -34.5575018 19.685  2.886       1.655   0.9402  17.5557    18.82      nan      nan    2.756 M3.9      nan    nan   1.032     nan                                None
Gaia DR3 5602666919307191552 108.1850858 -34.1704838 17.663  2.583       4.725   1.6636  17.6100    19.46      nan      nan    2.545 M3.2      nan    nan   1.215     nan                                None
Gaia DR3 5592889993203281152 111.2430339 -31.6036722 10.916  0.474       0.623   2.4879  17.6197    19.22    19.75     2.62    2.596 F1.6      nan    nan   0.912     nan                            Gaia DR3
Gaia DR3 5592750694520838144 110.1899641 -32.5459903 18.842  2.850       3.380   1.3764  17.6200    19.31      nan      nan    2.536 M3.8      nan    nan   1.081     nan                                None
Gaia DR3 5590987425764616064 109.3643661 -34.2013850 16.373  2.586       3.700   0.7237  17.6452    19.22      nan      nan    2.524 M3.2      nan    nan   1.083     nan                                None
Gaia DR3 5591578890002712832 111.3932645 -34.3050371 18.240  3.112       2.733   1.0823  17.6791    18.78      nan      nan    2.754 M4.4      nan    nan   1.013     nan                                None
Gaia DR3 5591510037386629248 111.9935777 -34.7002477 14.187  1.235       0.488   1.6949  17.7249    18.59     7.50     6.62    2.546 K3.2      nan    nan   1.047     nan                            Gaia DR3
Gaia DR3 5603193585377883904 109.2911729 -33.1479138 18.129    nan       1.282   1.0662  17.7576    19.40      nan      nan    2.755  nan      nan    nan   1.015     nan                                None
Gaia DR3 5591632697355314432 111.7621457 -33.8156809 18.909  3.332       3.037   1.3259  17.8104    18.78      nan      nan    2.534 M4.9      nan    nan   1.083     nan                                None
Gaia DR3 5603442105069616256 107.7291379 -32.4228620 18.467  2.989       3.087   2.5344  17.8265    19.83      nan      nan    2.682 M4.1      nan    nan   1.017     nan                                None
Gaia DR3 5588217962135818240 112.7326697 -35.6034915 17.837  2.876       0.899   2.6937  17.8802    18.28      nan      nan    2.649 M3.8      nan    nan   0.959     nan                                None
Gaia DR3 5591420113652875136 113.4197653 -34.1076406 19.426  3.073       4.957   2.6996  17.9024    18.36      nan      nan    2.648 M4.3      nan    nan   1.053     nan                                None
Gaia DR3 5592737397301719808 110.2700884 -32.6413294 17.434  2.726       0.688   1.2837  17.9089    19.28      nan      nan    2.532 M3.5      nan    nan   1.062     nan                                None
Gaia DR3 5592586145732651136 111.4892975 -32.5879245 18.657  3.367       2.434   1.7312  17.9548    19.02      nan      nan    2.738 M5.0      nan    nan   1.191     nan                                None
Gaia DR3 5592818280122668032 111.6660680 -32.0225177 12.341  0.804       1.035   2.2767  17.9589    19.07    14.26     2.83    2.708 G1.1      nan    nan   1.717     nan                            Gaia DR3
Gaia DR3 5592402119274033536 111.1739273 -33.5660149 14.557  1.503       0.639   0.9073  17.9875    18.94    18.44     5.08    2.760 K5.2      nan    nan   1.004     nan                            Gaia DR3
Gaia DR3 5592844363470315904 110.7128125 -32.2150772 16.969  2.536       0.966   1.7667  18.0178    19.25      nan      nan    2.737 M3.1      nan    nan   1.008     nan                                None
Gaia DR3 5592966306184262400 112.5665248 -32.0891975 18.186  2.880       0.668   2.7198  18.0356    18.86      nan      nan    2.631 M3.9      nan    nan   0.992     nan                                None
Gaia DR3 5603045323111155584 108.2071779 -34.1172921 13.063  0.955       4.598   1.6388  18.0446    19.47    19.23     7.02    2.541 G9.2      nan    nan   3.644     nan                            Gaia DR3
Gaia DR3 5586710944008298112 112.4141532 -35.9442197 17.086  2.824       3.260   2.7333  18.0866    18.29      nan      nan    2.640 M3.7      nan    nan   1.447     nan                                None
Gaia DR3 5605156488517623936 109.6252391 -31.2744437 13.238  1.002       0.608   2.6874  18.1697    19.62    13.04     2.87    2.614 K0.8      nan    nan   0.981     nan                            Gaia DR3
Gaia DR3 5592608926239222656 111.6391331 -32.5774962 18.458  3.183       1.188   1.8213  18.1943    18.99      nan      nan    2.546 M4.6      nan    nan   0.943     nan                                None
Gaia DR3 5592813366680957824 111.7311133 -32.1541022 18.034  2.869       0.977   2.1996  18.1979    19.03      nan      nan    2.717 M3.8      nan    nan   0.979     nan                                None
Gaia DR3 5605293583865331456 111.1052706 -31.2960251 17.829  2.913       0.276   2.7418  18.2363    19.29      nan      nan    2.627 M3.9      nan    nan   1.018     nan                                None
Gaia DR3 5590308747911883904 108.5571530 -35.9212776 19.068  3.108       2.624   2.3969  18.3005    19.09      nan      nan    2.577 M4.4      nan    nan   1.064     nan                                None
Gaia DR3 5591636339483886080 111.9064014 -33.6655285 19.531  2.920       2.589   1.4653  18.3042    18.77      nan      nan    2.750 M3.9      nan    nan   1.091     nan                                None
Gaia DR3 5592092400584674048 113.2989969 -33.0024451 19.703  2.458       3.158   2.7672  18.3181    18.56      nan      nan    2.636 M2.9      nan    nan   1.066     nan                                None
Gaia DR3 5602680594486628992 107.8927874 -34.1844824 14.443  1.393       2.726   1.9051  18.3187    19.52    13.92     7.00    2.549 K4.6      nan    nan   0.971     nan                            Gaia DR3
Gaia DR3 5590746937656475136 109.3151666 -34.9434919 18.989  3.058       2.976   1.2411  18.3358    19.11      nan      nan    2.756 M4.3      nan    nan   0.966     nan                                None
Gaia DR3 5590539306056303232 108.0170720 -35.2597413 16.770  3.018       4.061   2.2205  18.3485    19.31      nan      nan    2.564 M4.2      nan    nan   1.034     nan                                None
Gaia DR3 5590244632641685888 109.1563390 -36.0903489 20.124  2.254       3.772   2.3216  18.3592    18.94      nan      nan    2.711 M2.0      nan    nan   1.029     nan                                None
Gaia DR3 5603565250372784128 107.8907579 -31.8903805 18.082  2.519       2.283   2.7912  18.4844    19.88      nan      nan    2.645 M3.1      nan    nan   1.035     nan                                None
Gaia DR3 5589931684146093568 110.4163529 -35.3250758 17.306  2.737       3.248   1.4173  18.5348    18.82      nan      nan    2.531 M3.6      nan    nan   0.971     nan                                None
Gaia DR3 5592452696810936064 111.1810535 -33.3919858 17.899    nan       1.388   0.9944  18.6487    18.97      nan      nan    2.764  nan      nan    nan   1.277     nan                                None
Gaia DR3 5593217235349990144 111.7396096 -31.6354328 15.289  1.819       0.229   2.6401  18.6616    19.11    25.01    14.59    2.686 K7.8      nan    nan   0.927     nan                            Gaia DR3
Gaia DR3 5591234918961312128 112.7395070 -35.2482034 18.639  3.241       4.128   2.4962  18.6749    18.34      nan      nan    2.580 M4.7      nan    nan   2.710     nan                                None
Gaia DR3 5603537900020530560 107.8534116 -32.3234442 18.335  3.033       2.779   2.5142  18.6894    19.82      nan      nan    2.700 M4.2      nan    nan   1.019     nan                                None
Gaia DR3 5589737242382973312 112.0747443 -35.5321800 19.102  3.421       0.901   2.2452  18.7134    18.44      nan      nan    2.562 M5.1      nan    nan   0.963     nan                                None
Gaia DR3 5590352148560771328 109.2896016 -35.2714727 13.074  0.918       3.243   1.5316  18.8157    19.06    18.52     3.30    2.532 G8.4      nan    nan   0.977     nan                            Gaia DR3
Gaia DR3 5590907225837632512 110.3479764 -34.0850064 18.554  1.336       3.652   0.2194  18.8436    19.04      nan      nan    2.512 K4.1      nan    nan   2.670     nan                                None
Gaia DR3 5592828523629838208 111.2795618 -31.9336239 17.136  2.686       0.486   2.1958  18.8525    19.16      nan      nan    2.557 M3.5      nan    nan   1.060     nan                                None
Gaia DR3 5591651457769449856 112.6341888 -33.9522930 19.813  2.590       3.666   2.0442  18.8731    18.56      nan      nan    2.733 M3.3      nan    nan   1.052     nan                                None
Gaia DR3 5603014360686142208 106.8765624 -33.1776167 19.491  3.063       4.926   2.8442  18.8774    19.88      nan      nan    2.650 M4.3      nan    nan   1.006     nan                                None
Gaia DR3 5592834467864569472 111.2800518 -31.9202950 17.659  2.827       0.072   2.2081  18.9397    19.17      nan      nan    2.557 M3.7      nan    nan   0.988     nan                                None
Gaia DR3 5604927510917553280 110.6589024 -31.3291734 19.037  3.055       0.446   2.6256  18.9406    19.39      nan      nan    2.588 M4.2      nan    nan   1.073     nan                                None
Gaia DR3 5590138392331012224 108.7471338 -36.5230624 17.193  3.148       1.401   2.8487  18.9725    18.95      nan      nan    2.625 M4.5      nan    nan   3.769     nan                                None
Gaia DR3 5591432311357145216 112.9243998 -34.4809327 18.702  3.254       1.107   2.3451  18.9881    18.42      nan      nan    2.717 M4.7      nan    nan   0.962     nan                                None
Gaia DR3 5592847352767303680 110.8828636 -32.2020421  5.357 -0.226       3.400   1.8209  18.9920    19.21      nan      nan    2.540 B0.0      nan    nan   1.379     nan                                None
Gaia DR3 5590794938213222144 109.6890990 -34.3591203 18.817  2.981       3.126   0.5912  19.0133    19.13      nan      nan    2.513 M4.1      nan    nan   1.050     nan                                None
Gaia DR3 5590975704796906368 109.4612743 -34.4112512 19.766  2.699       3.325   0.7637  19.0155    19.17      nan      nan    2.771 M3.5      nan    nan   1.090     nan                                None
Gaia DR3 5603116275970767360 107.8758676 -33.7073409 15.390  2.135       0.808   1.9184  19.0691    19.60      nan      nan    2.543 M1.3      nan    nan   2.069     nan                                None
Gaia DR3 5590627090890157056 108.2171048 -34.7139687 18.463  3.200       2.741   1.7970  19.0757    19.37      nan      nan    2.746 M4.6      nan    nan   1.075     nan                                None
Gaia DR3 5591482927556292608 113.0278025 -34.0158445 13.908  1.115       4.854   2.3715  19.0817    18.47    32.95     2.38    2.717 K2.1      nan    nan   1.096     nan                            Gaia DR3
Gaia DR3 5604999185333256960 110.0674070 -31.0568183 18.301  3.151       0.413   2.8668  19.1603    19.55      nan      nan    2.621 M4.5      nan    nan   1.001     nan                                None
Gaia DR3 5591371975655381248 113.4354799 -34.5899089  9.370  0.081       3.222   2.7799  19.2026    18.29    19.74     3.13    2.602 A2.5      nan    nan   3.329     nan                            Gaia DR3
Gaia DR3 5592890474239959936 110.9011667 -31.8803296 15.843  2.053       0.692   2.1322  19.2113    19.25      nan      nan    2.551 M0.8      nan    nan   1.138     nan                                None
Gaia DR3 5604754548296995584 109.5397185 -32.3762979 13.555  1.079       4.095   1.6337  19.2259    19.47    16.38     2.23    2.753 K1.9      nan    nan   0.979     nan                            Gaia DR3
Gaia DR3 5590670315438423168 109.7481114 -35.3468366 18.629  3.144       1.648   1.4663  19.2271    18.95      nan      nan    2.527 M4.5      nan    nan   0.957     nan                                None
Gaia DR3 5589636572651211008 111.1208810 -36.3194468 12.540  0.851       2.929   2.5200  19.2442    18.51    12.05     1.16    2.574 G5.1      nan    nan   1.605     nan                            Gaia DR3
Gaia DR3 5592765022532669440 110.4253798 -32.2133031 18.456  3.178       0.866   1.7223  19.2802    19.31      nan      nan    2.751 M4.6      nan    nan   0.935     nan                                None
Gaia DR3 5590408597311527680 107.5334827 -35.8040288 18.702  3.369       4.415   2.8672  19.2860    19.31      nan      nan    2.616 M5.0      nan    nan   0.969     nan                                None
Gaia DR3 5586697200113102720 112.6795647 -35.9542529 14.564  1.855       1.033   2.8911  19.3654    18.24      nan      nan    2.661 M0.1      nan    nan   1.341     nan                                None
Gaia DR3 5591016489802360064 108.6374568 -34.2642517 18.998  2.699       2.376   1.3147  19.3678    19.36      nan      nan    2.522 M3.5      nan    nan   1.043     nan                                None
Gaia DR3 5593263341813388032 111.4878806 -31.5568397 10.700  0.385       1.339   2.6121  19.3791    19.17    21.74     1.52    2.580 F0.0      nan    nan   0.889     nan                            Gaia DR3
Gaia DR3 5592516709001550720 111.6850327 -33.0183781 18.181  2.941       0.202   1.5535  19.3930    18.92      nan      nan    2.528 M4.0      nan    nan   0.995     nan                                None
Gaia DR3 5591614009957053056 111.7109199 -33.9597998 17.436  2.657       1.199   1.2786  19.4457    18.77      nan      nan    2.765 M3.4      nan    nan   1.884     nan                                None
Gaia DR3 5592191872039603200 112.9801966 -32.4325676 16.022  2.095       0.451   2.7837  19.4972    18.71      nan      nan    2.596 M1.0      nan    nan   1.047     nan                                None
Gaia DR3 5592410120796026880 111.4878953 -33.3150743 19.334  2.656       1.531   1.2540  19.5349    18.91      nan      nan    2.520 M3.4      nan    nan   1.040     nan                                None
Gaia DR3 5602636403564501120 107.4320659 -34.7367987 19.917  2.581       2.906   2.4034  19.5577    19.51      nan      nan    2.562 M3.2      nan    nan   1.069     nan                                None
Gaia DR3 5592836009752232832 111.5072122 -31.8100325 18.258    nan       0.522   2.3921  19.5632    19.13      nan      nan    2.561  nan      nan    nan   1.078     nan                                None
Gaia DR3 5591855215314826752 113.6948582 -33.6906696 18.935  3.306       1.107   2.9375  19.6048    18.37      nan      nan    2.658 M4.9      nan    nan   1.015     nan                                None
Gaia DR3 5605109553106678912 108.5825678 -31.2749192 18.881  3.018       3.244   2.9661  19.6258    19.84      nan      nan    2.640 M4.2      nan    nan   0.978     nan                                None
Gaia DR3 5604898824839628672 110.3874544 -31.6090482 16.343  2.298       0.647   2.3205  19.6296    19.41      nan      nan    2.556 M2.3      nan    nan   0.919     nan                                None
Gaia DR3 5605067565507481856 109.1775647 -31.3947839 18.574    nan       0.878   2.6621  19.6428    19.69      nan      nan    2.580  nan      nan    nan   0.986     nan                                None
